What Makes a Domestic Violence Court Work?,Robyn Mazur and Liberty Aldrich,"Mazur, Robyn, and Liberty Aldrich. “What Makes a Domestic Violence Court Work? Lessons from New York .” Judges' Journal, vol. 42, no. 2, 2003, pp. 5–11.",CCI,"DV Court, Building a DV Court",Article,American Bar Association,Spring 2003,7,"This article provides a summary of the basic lessons learned from the development and implementation of the sixteen domestic violence courts in New York. The authors address the principles, obstacles, and benefits of domestic violence courts.","While each domestic violence court must address the needs of its own community, the building blocks of a successful domestic violence court are victim services, judicial monitoring, accountability, and coordinated community response.","A domestic violence court is, by its nature, a collaborative enterprise requiring the buy in of numerous agencies including court administrators, judges, prosecutors, victim advocates, and, where possible, the defense bar.","Due to the progressive nature of domestic violence crime, the court must look for broader system outcomes, seeking to reduce recidivism, increase safety for victims, and improve inter-agency collaboration.",Mazur-What Makes a Domestic Violence (7)
A Domestic Violence Court Planning Road Map,"Tulalip Tribe, Kate Trujillo","Trujillo, Kate. A Domestic Violence Court Planning Road Map: The Tulalip Tribes’ Experience. Center for Court Innovation, May 2019.",CCI and NAICJA,"Building a DV Court, DV Court: minority survivors",Article,National American Indian Court Judges Association,2017,4,"This is a very short report of the planning process of the Tulalip Tribes of Washington in creating a specialized DV court—one of the first in the tribal justice system. It outlines 5 steps involved in their court development process, identified as: brainstorming and research, outlining goals and identifying potential funding sources, stakeholder engagement, development of processes and procedures, and logistics and personnel. It also includes a short list of the challenges and strengths they have encountered in their process.",The process requires community buy-in and trust through constant communication and dialogue with local stakeholders.,"The court will be modeled off the Tribe’s Healing to Wellness Court, working in tandem with existing non-legal tribal service providers and victim services to promote offender accountability and victim safety.","The tribal court anticipates working across jurisdictional boundaries when offenses happen off-reservation or involve non-tribal members, requiring relationships with non-tribal entities.",Tulalip- A Domestic Violence Court Planning (4)
Integrating Procedural Justice in Domestic Violence Cases,Danielle Malangone,"Malangone, Danielle. “Integrating Procedural Justice in Domestic Violence Cases”. Center for Court Innovation, pp. 1-4.",CCI,"Building a DV Court, Victim Safety",Article,Center for Court Innovation,2015,4,This article refers to research done on the integration of procedural justice in domestic violence cases. It defines procedural justice and explains why it is so important in domestic violence cases for both parties involved. It goes on to offer seven tips for domestic violence courts on how to address the dimensions of procedural justice in a way that makes all litigants feel as if the process was fair.,"If litigants and defendants perceive the justice system to be fair (procedural justice), they’re more likely to comply with court orders and engage in future law-abiding behavior.",The litigant’s perceived fairness of the process is more influential than the case outcome (whether they win or lose).,"Procedural Justice is especially relevant to Domestic Violence cases because when litigants see the legal process as fair victims feel safer and are less easily traumatized by the process; defendants understand what is expected of them through court orders, which reduces the possibility of more harm towards the victims.",Malangone- Integrating Procedural Justice in Domestic (4)
Fact Sheet: Domestic Violence Court Compliance Monitoring,Liberty Aldrich,"“Domestic Violence Court Compliance Monitoring.” Fact Sheet. Center for Court Innovation. New Work, NY. June 2013. Web.",CCI,"Compliance Monitoring, ",Article,Center for Court Innovation,Unknown,2,"This is a fact sheet summarizing how DV compliance monitoring typically operates, including monitoring frequency and consistency. It makes suggestions for establishing accountability measures to ensure offenders are following the program. It also gives advice for planning and executing effective compliance monitoring in DV courts alongside batterer programs and local service providers.","Effective compliance monitoring, coupled with partnerships with community service providers, can positively impact batterers and keep them from re-offending.",Effective compliance monitoring is achieved through relationships between the DV court and community service providers.,"Consequences in place for violations of compliance monitoring include measures such as jail time, motivating offenders to commit to monitoring and program requirements.",Aldrich- Fact Sheet: Domestic Violence Court (2)
Supporting Domestic Violence Survivors' Safety During the Court Process,Unknown,"“Supporting Domestic Violence Survivors' Safety during the Court Process: A Checklist of Recommended Practices.” VAWnet.org, Center for Court Innovation, Mar. 2021, https://vawnet.org/material/supporting-domestic-violence-survivors-safety-during-court-process-checklist-recommended.",CCI,"DV Court, Victim Safety, ",Article,Center for Court Innovation,2021,3,"Written in 2021, this fact sheet/checklist provides critical information for DV courts to consider in order to create a space that is safe and welcoming to survivors. This checklist takes a survivor-centered and trauma-informed approach to ensure the well-being of survivors leading up to the hearing, during the hearing, and afterwards as well. The article further notes some specific suggestions for marginalized survivors, specifically for survivors with disabilities.",Court teams should design and implement strategies to support survivors’ safety and well-being so they can meaningfully participate in the legal process.,An effective way to consider survivors’ concerns would be to do a “walk-through” from their perspective and consider any potential concerns or obstacles.,"Minimize any potential for contact between the defendant and respondent at each step: traveling, inside the courthouse, inside the courtroom, and virtually.",CCI- Supporting Domestic Violence Survivors' Safety (3)
Planning a Domestic Violence Court,"Robert V Wolf, Liberty Aldrich and Samantha Moore","Aldrich, Liberty, et al. “Planning a Domestic Violence Court: The New York State Experience.” Center for Court Innovation, June 2004, https://www.courtinnovation.org/publications/planning-domestic-violence-court-new-york-state-experience.",CCI,"Building a DV Court, Victim Safety",Article,Center for Court Innovation,2004,28,"Aldrich, Liberty, et al. “Planning a Domestic Violence Court: The New York State Experience.” Center for Court Innovation, June 2004, https://www.courtinnovation.org/publications/planning-domestic-violence-court-new-york-state-experience.","Defendant accountability and victim safety are the two main goals of domestic violence courts, in New York and around the country.","The most important result of the Brooklyn Felony Domestic Violence court’s first eight years of operation is that no victim linked to an open case has been killed, meaning that the basic level of victim safety has been achieved.",The court can serve as a catalyst in the community by fostering community-wide discussion about the problem of domestic violence and ways to address it.,Wolf- Planning a Domestic Violence Court (28)
Seeing the Wrecking Ball in Motion: Ex-Parte Protection Orders and the Realities of Domestic Violence,Debra Stark andJessica Choplin,"Stark, Debra Pogrund, and Jessica M. Choplin. ""Seeing The Wrecking Ball In Motion: Ex Parte Protection Orders And The Realities Of Domestic Violence"". SSRN Electronic Journal, 2016. Elsevier BV, https://doi.org/10.2139/ssrn.2842837.",The John Marshall Law School and DePaul University,"DV Court: Ex-Partes, Victim Safety",Article,"Wisconsin Journal of Law, Gender and Justice",unknown,52,"This paper explores the difference between ex parte orders for non domestic violence crimes and domestic violence crimes. It goes on to differentiate between the conditions that allow for ex parte orders in various states. And then it focuses on the dynamics of domestic violence, which some judges don’t understand, which leads to them denying orders for survivors that should be granted. The paper ends with suggested reforms for the law.","When judges don’t understand the realities of domestic violence, or when a victim acts in a way that’s not typical for their gender, judges are less likely to grant ex parte orders that they should be granting","Preconditions for obtaining an ex parte order differ from state to state based off of the type of abuse, the degree of certainty that there is danger for future abuse, whether the abuse is imminent (and how the imminence is determined), and whether the order is necessary to protect the petitioner.","Although ex parte orders are not going to stop violence should it occur, the orders do provide survivors with the safety of being able to call the cops the moment their abuser is somewhere they shouldn’t be.",Stark- Seeing the Wrecking Ball in (52)
Domestic Violence Offenders in Missouri: A study on Recidivism,Eric Chambers and Mark Krispin,"Chambers, Eric, and Mark Krispin. “Domestic Violence Offenders in Missouri: A Study on Recidivism.” Missouri Department of Public Safety, 11 Mar. 2011, https://www.mshp.dps.missouri.gov/MSHPWeb/SAC/pdf/DomesticViolenceFinalReport.pdf.",Missouri State Highway Patrol,"DV Statistics, DV Court: Enforcement",Article,"Missouri State Highway Patrol, Missouri Department of Public Safety",2011,26,"This study used the Criminal History Reporting System (CHRS) maintained by the Missouri State Highway Patrol to create a detailed picture of domestic violence offenders at various levels of the criminal justice system in Missouri. The authors analyzed domestic violence arrest, court action, and sentencing data from 1999-2010, and domestic violence reoffence data from 1999-2006. Based on this analysis, they found trends related to gender, race, and age at these phases in the criminal justice system.",The preponderance of domestic violence offenses in Missouri over the past ten years have been committed by white males around the age of 30.,Three-quarters of the arrests involving at least one domestic violence charge over the past ten years was sent to prosecuting attorneys.,"It is evident that gender and racial differences exist in court actions –– males were convicted at a much higher rate than females with a nearly 15 percent difference, and higher proportions of charges against blacks and other minorities resulted in convictions compared to their white counterparts.",Chambers- Domestic Violence Offenders in Missouri (26)
Compliance Monitoring in Domestic Violence Vases: A Guide for Courts,Brittany Davis,"Davis, Brittany. Compliance Monitoring in Domestic Violence Cases: A Guide for Courts. Center for Court Innovation, 2019.",CCI,"Compliance Monitoring, Building a DV Court",Article,Center for Court Innovation,2019,68,"This guide outlines best practices to help courts develop/enhance compliance monitoring through judicial monitoring. By providing specific real-time examples from DV courts across the country, the guide provides a glimpse into current best practice.",Meaningful judicial engagement is key; litigants need to feel that they are seen and that rulings are fair and neutral.,DV courts should cultivate strong relationship with community resources and system stakeholders to ensure that defendants and respondents are sent to appropriate programming and that information-sharing mechanisms are in place regarding compliance.,"Clear, consistent, and meaningful sanctioning through shared forms and protocols, along with courtroom theater has the power to increase compliance.",Davis- Compliance Monitoring in Domestic Violence (68)
Do Protection Orders Protect?,"Christopher Benitez, Dale McNiel and Renee Binder","Benitez, Christopher T., et al. “Do Protection Orders Protect?” Journal of the American Academy of Psychiatry and the Law, vol. 38, no. 3, 2010, pp. 376-85.","University of California, San Fransisco","DV Court: Violations, Victim Safety",Article,Journal of American Academy of Psychiatry and the Law,2010,11,"The authors of this article conduct a literature review on protection orders to assess the overall effectiveness of protection orders. They particularly focus on studies that provide data on rates of violation and characteristics (time, victim characteristics, perpetrator characteristics, relationship factors, and legal system factors) associated with increased risk of violation. With a focus on mental health clinicians, they propose a framework for decision-making when considering protection orders.","The risk of a violation is greatest soon after issuance of the order, particularly during the period of a temporary protection order",The presence of stalking behavior elevates the risk for protection order violation.,The severity of violence before protection order placement predicts the severity of future violence.,Benitez- Do Protection Orders Protect (11)
